XP n°,Substrate,Organism,Enzyme,Yield,Unit,Incubation time (hrs),Pretreatment,Nutritive or inducing supplement,Enhancement or optimization method,Parameters,Notes,Date of publication,Reference
1,wheat bran,Aspergillus candidus,xylanase,770,U/gds,115,"Dried, ground (710µm), autoclaved with 15% ammmonia solution (1h ; 121°C).","g/gds : 0,04 NH4NO3 ; 0,01 YE ; 0,01 peptone ; 0,001 KH2PO4 ; 0,001 MgSO4.",RSM (Box-Behnken design),"pH=6 ; MC=3ml/gds ; inoculum (5ml ; 5E4 spores/ml) ; T°=24,5±0,5°C.",,2012,1
1,wheat bran,Aspergillus candidus,CMCase,77,U/gds,115,"Dried, ground (710µm), autoclaved with 15% ammmonia solution (1h ; 121°C).","g/gds : 0,04 NH4NO3 ; 0,01 YE ; 0,01 peptone ; 0,001 KH2PO4 ; 0,001 MgSO4.",RSM (Box-Behnken design),"pH=6 ; MC=3ml/gds ; inoculum (5ml ; 5E4 spores/ml) ; T°=24,5±0,5°C.",,2012,1
1,wheat bran,Aspergillus candidus,FPase,26.12,U/gds,115,"Dried, ground (710µm), autoclaved with 15% ammmonia solution (1h ; 121°C).","g/gds : 0,04 NH4NO3 ; 0,01 YE ; 0,01 peptone ; 0,001 KH2PO4 ; 0,001 MgSO4.",RSM (Box-Behnken design),"pH=6 ; MC=3ml/gds ; inoculum (5ml ; 5E4 spores/ml) ; T°=24,5±0,5°C.",,2012,1
2,corn flour,Pleurotus sajor-caju,protease,45,U/mL,192,Sterilised.,"for 10gs, 10ml of solution (g/L): KNO3 2,0 ; MgSO4.7H2O 0,5 ; K2HPO4 1,0 ; ZnSO4.7H2O 0,437 ; FeSO4.7H2O 1,116 ; MnSO4.7H2O 0,203.",OFAT,Inoculum (1ml ; 1E6 spores/ml) ; T°=30°C ; Agitation=125rpm.,Yield value is approximate.,2012,2
3,wheat bran,Pleurotus sajor-caju,protease,35,U/mL,192,Sterilised.,"for 10gs, 10ml of solution (g/L): KNO3 2,0 ; MgSO4.7H2O 0,5 ; K2HPO4 1,0 ; ZnSO4.7H2O 0,437 ; FeSO4.7H2O 1,116 ; MnSO4.7H2O 0,203.",OFAT,Inoculum (1ml ; 1E6 spores/ml) ; T°=30°C ; Agitation=125rpm.,Yield value is approximate.,2012,2
4,rice bran,Pleurotus sajor-caju,protease,26,U/mL,192,Sterilised.,"for 10gs, 10ml of solution (g/L): KNO3 2,0 ; MgSO4.7H2O 0,5 ; K2HPO4 1,0 ; ZnSO4.7H2O 0,437 ; FeSO4.7H2O 1,116 ; MnSO4.7H2O 0,203.",OFAT,Inoculum (1ml ; 1E6 spores/ml) ; T°=30°C ; Agitation=125rpm.,Yield value is approximate.,2012,2
5,finger millet (ragi),Pleurotus sajor-caju,protease,28,U/mL,192,Sterilised.,"for 10gs, 10ml of solution (g/L): KNO3 2,0 ; MgSO4.7H2O 0,5 ; K2HPO4 1,0 ; ZnSO4.7H2O 0,437 ; FeSO4.7H2O 1,116 ; MnSO4.7H2O 0,203.",OFAT,Inoculum (1ml ; 1E6 spores/ml) ; T°=30°C ; Agitation=125rpm.,Yield value is approximate.,2012,2
6,wheat straw,Aspergillus niger N402,FPase,24,U/gds,120,"Air-dried, ground (2mm), autoclaved (15mn ; 121°C).","2 g/L of starch powder to improve fungal growth ; 0,5% YE + mineral solution.",NA,Inoculum (1E6 spores/gds) ; spatula mixing (NA) ; Incubation on Petri dishes (2g of inoculated dry substrate/dish) ; T°=28°C.,The difference between xp 6 and 7 lies in the composition of the nutritive supplement.,2013,3
7,wheat straw,Aspergillus niger N402,FPase,38.8,U/gds,120,"Air-dried, ground (2mm), autoclaved (15mn ; 121°C).",2 g/L of starch powder to improve fungal growth ; 5% YE.,NA,Inoculum (1E6 spores/gds) ; spatula mixing (NA) ; Incubation on Petri dishes (2g of inoculated dry substrate/dish) ; T°=28°C.,The difference between xp 6 and 7 lies in the composition of the nutritive supplement.,2013,3
8,wheat bran,Aspergillus niger LBA 02,protease,183.98,U/g,48,None,None,Substrate: Simplex-Lattice mixture design ; parameters: NA.,Total substrate mass=20g ; MC=50% ; Inoculum (1E7 spores/gs) ; T°=30°C.,This study investigated the synergistic or antagonistic effects of waste mixtures and proportions for protease production.,2015,4
9,mixture (wheat bran ; soybean meal),Aspergillus niger LBA 02,protease,262.78,U/g,48,None,None,Substrate: Simplex-Lattice mixture design ; parameters: NA.,Total substrate mass=20g ; MC=50% ; Inoculum (1E7 spores/gs) ; T°=30°C.,Substrate proportions: 1:1. This study investigated the synergistic or antagonistic effects of waste mixtures and proportions for protease production. Enzyme production was enhanced in comparison to experiments with sole substrates. This substrate resulted in the highest production along binary mixtures.,2015,4
10,mixture (wheat bran ; cottonseed meal),Aspergillus niger LBA 02,protease,176.27,U/g,48,None,None,Substrate: Simplex-Lattice mixture design ; parameters: NA.,Total substrate mass=20g ; MC=50% ; Inoculum (1E7 spores/gs) ; T°=30°C.,Substrate proportions: 1:1. This study investigated the synergistic or antagonistic effects of waste mixtures and proportions for protease production.,2015,4
11,mixture (wheat bran ; orange peel),Aspergillus niger LBA 02,protease,99.75,U/g,48,None,None,Substrate: Simplex-Lattice mixture design ; parameters: NA.,Total substrate mass=20g ; MC=50% ; Inoculum (1E7 spores/gs) ; T°=30°C.,"Substrate proportions: 1:1. This study investigated the synergistic or antagonistic effects of waste mixtures and proportions for protease production. Enzyme production was enhanced in comparison to experiments with sole substrates. The enzyme activity went up to 122,28 U/g at 96h.",2015,4
12,mixture (wheat bran ; soybean meal ; cottonseed meal ; orange peel),Aspergillus niger LBA 02,protease,245.97,U/g,48,None,None,Substrate: Simplex-Lattice mixture design ; parameters: NA (previous study).,Total substrate mass=20g ; MC=50% ; Inoculum (1E7 spores/gs) ; T°=30°C.,"Substrate proportions: 1:1:1:1. This study investigated the synergistic or antagonistic effects of waste mixtures and proportions for protease production. Article states: ""Increases ranging from 7.6% to 581.7% in protease production, compared to individual substrates, were observed [with this quaterny mixture]"".",2015,4
13,mixture (wheat straw ; wheat bran),Co-culture (Trichoderma sp. T-1 ; Phanerochaete chrysosporium ; Aspergillus oryzae A-4),FPase,9.48,U/gds,96,"Dried, ground (375-750µm). Wheat straw: alkaline peroxide pretreated (soaked in 2,5% w/v H2O2 + 10M NaOH solution ; 24h ; pH=11,5 ; 180rpm ; 37°C).","for 4gs, 4mL of modified Mandel's medium (g/L): 2 NaNO3 ; 1,5 KH2PO4 ; 0,3 CaCl2 ; 0,3 MgSO4.7H2O ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.H2O ; 0,0014 ZnSO4.H2O ; 0,0005 CoCl2.",Microorganisms: Taguchi design ; parameters: NA.,pH=6 ; RH=50-80% ; T°=28°C.,"Substrate proportions: 3WS:1WB. Fungi proportions: 92% Trichoderma ; 6,7% P. chrysosporium ; 1,3% A. oryzae. Experiment realised in ø9cm petri dishes. This study aimed to create an optimal fungi pool for cellulolytic enzyme system production. 6 strains were tested in various proportions.",2011,5
13,mixture (wheat straw ; wheat bran),Co-culture (Trichoderma sp. T-1 ; Phanerochaete chrysosporium ; Aspergillus oryzae A-4),CMCase,44.56,U/gds,96,"Dried, ground (375-750µm). Wheat straw: alkaline peroxide pretreated (soaked in 2,5% w/v H2O2 + 10M NaOH solution ; 24h ; pH=11,5 ; 180rpm ; 37°C).","for 4gs, 4mL of modified Mandel's medium (g/L): 2 NaNO3 ; 1,5 KH2PO4 ; 0,3 CaCl2 ; 0,3 MgSO4.7H2O ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.H2O ; 0,0014 ZnSO4.H2O ; 0,0005 CoCl2.",Microorganisms: Taguchi design ; parameters: NA.,pH=6 ; RH=50-80% ; T°=28°C.,"Substrate proportions: 3WS:1WB. Fungi proportions: 92% Trichoderma ; 6,7% P. chrysosporium ; 1,3% A. oryzae. Experiment realised in ø9cm petri dishes. This study aimed to create an optimal fungi pool for cellulolytic enzyme system production. 6 strains were tested in various proportions.",2011,5
13,mixture (wheat straw ; wheat bran),Co-culture (Trichoderma sp. T-1 ; Phanerochaete chrysosporium ; Aspergillus oryzae A-4),β-glucosidase,49.28,U/gds,96,"Dried, ground (375-750µm). Wheat straw: alkaline peroxide pretreated (soaked in 2,5% w/v H2O2 + 10M NaOH solution ; 24h ; pH=11,5 ; 180rpm ; 37°C).","for 4gs, 4mL of modified Mandel's medium (g/L): 2 NaNO3 ; 1,5 KH2PO4 ; 0,3 CaCl2 ; 0,3 MgSO4.7H2O ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.H2O ; 0,0014 ZnSO4.H2O ; 0,0005 CoCl2.",Microorganisms: Taguchi design ; parameters: NA.,pH=6 ; RH=50-80% ; T°=28°C.,"Substrate proportions: 3WS:1WB. Fungi proportions: 92% Trichoderma ; 6,7% P. chrysosporium ; 1,3% A. oryzae. Experiment realised in ø9cm petri dishes. This study aimed to create an optimal fungi pool for cellulolytic enzyme system production. 6 strains were tested in various proportions.",2011,5
13,mixture (wheat straw ; wheat bran),Co-culture (Trichoderma sp. T-1 ; Phanerochaete chrysosporium ; Aspergillus oryzae A-4),xylanase,51.55,U/gds,96,"Dried, ground (375-750µm). Wheat straw: alkaline peroxide pretreated (soaked in 2,5% w/v H2O2 + 10M NaOH solution ; 24h ; pH=11,5 ; 180rpm ; 37°C).","for 4gs, 4mL of modified Mandel's medium (g/L): 2 NaNO3 ; 1,5 KH2PO4 ; 0,3 CaCl2 ; 0,3 MgSO4.7H2O ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.H2O ; 0,0014 ZnSO4.H2O ; 0,0005 CoCl2.",Microorganisms: Taguchi design ; parameters: NA.,pH=6 ; RH=50-80% ; T°=28°C.,"Substrate proportions: 3WS:1WB. Fungi proportions: 92% Trichoderma ; 6,7% P. chrysosporium ; 1,3% A. oryzae. Experiment realised in ø9cm petri dishes. This study aimed to create an optimal fungi pool for cellulolytic enzyme system production. 6 strains were tested in various proportions.",2011,5
14,mixture (rice straw ; wheat flour),Lentinus tigrinus (Panus tigrinus) M609RQY,laccase,0.803,U/mL,240,"Cut (2cm), washed with water, air-dried, ground (2mm) autoclaved (20mn ; 121°C).","for 6gs, 11,8ml of distilled water + 1ml of solution (g/L): 2 (NH4)2SO4 ; 5 malt extract ; 0,5 MgSO4.H2O ; 0,6 KH2PO4 ; 0,4 K2HPO4 ; 0,2 CaCl2.H2O.",NA,"Inoculum (1,2ml ; 0,865 g/l) ; T°=30°C.","Substrate proportions (w/w): 91,7% RS ; 8,3% WF. Yield values are converted from U/L. LiP & MnP yield values are approximate. The article states that rice straw is not suitable for laccase production by this fungi.",2013,6
14,mixture (rice straw ; wheat flour),Lentinus tigrinus (Panus tigrinus) M609RQY,lignin peroxidase,0.015,U/mL,360,"Cut (2cm), washed with water, air-dried, ground (2mm) autoclaved (20mn ; 121°C).","for 6gs, 11,8ml of distilled water + 1ml of solution (g/L): 2 (NH4)2SO4 ; 5 malt extract ; 0,5 MgSO4.H2O ; 0,6 KH2PO4 ; 0,4 K2HPO4 ; 0,2 CaCl2.H2O.",NA,"Inoculum (1,2ml ; 0,865 g/l) ; T°=30°C.","Substrate proportions (w/w): 91,7% RS ; 8,3% WF. Yield values are converted from U/L. LiP & MnP yield values are approximate. The article states that rice straw is not suitable for laccase production by this fungi.",2013,6
14,mixture (rice straw ; wheat flour),Lentinus tigrinus (Panus tigrinus) M609RQY,Mn-peroxidase,0.002,U/mL,360,"Cut (2cm), washed with water, air-dried, ground (2mm) autoclaved (20mn ; 121°C).","for 6gs, 11,8ml of distilled water + 1ml of solution (g/L): 2 (NH4)2SO4 ; 5 malt extract ; 0,5 MgSO4.H2O ; 0,6 KH2PO4 ; 0,4 K2HPO4 ; 0,2 CaCl2.H2O.",NA,"Inoculum (1,2ml ; 0,865 g/l) ; T°=30°C.","Substrate proportions (w/w): 91,7% RS ; 8,3% WF. Yield values are converted from U/L. LiP & MnP yield values are approximate. The article states that rice straw is not suitable for laccase production by this fungi.",2013,6
15,mixture (rice straw ; wheat flour),Lentinus tigrinus (Panus tigrinus) M109RQY,laccase,1.09,U/mL,240,"Cut (2cm), washed with water, air-dried, ground (2mm) autoclaved (20mn ; 121°C).","for 6gs, 11,8ml of distilled water + 1ml of solution (g/L): 2 (NH4)2SO4 ; 5 malt extract ; 0,5 MgSO4.H2O ; 0,6 KH2PO4 ; 0,4 K2HPO4 ; 0,2 CaCl2.H2O.",NA,"Inoculum (1,2ml ; 0,865 g/l) ; Incubation (15 days ; 30°C).","Substrate proportions (w/w): 91,7% RS ; 8,3% WF. Yield values are converted from U/L. LiP & MnP yield values are approximate. The article states that rice straw is not suitable for laccase production by this fungi.",2013,6
15,mixture (rice straw ; wheat flour),Lentinus tigrinus (Panus tigrinus) M109RQY,lignin peroxidase,0.013,U/mL,360,"Cut (2cm), washed with water, air-dried, ground (2mm) autoclaved (20mn ; 121°C).","for 6gs, 11,8ml of distilled water + 1ml of solution (g/L): 2 (NH4)2SO4 ; 5 malt extract ; 0,5 MgSO4.H2O ; 0,6 KH2PO4 ; 0,4 K2HPO4 ; 0,2 CaCl2.H2O.",NA,"Inoculum (1,2ml ; 0,865 g/l) ; Incubation (15 days ; 30°C).","Substrate proportions (w/w): 91,7% RS ; 8,3% WF. Yield values are converted from U/L. LiP & MnP yield values are approximate. The article states that rice straw is not suitable for laccase production by this fungi.",2013,6
15,mixture (rice straw ; wheat flour),Lentinus tigrinus (Panus tigrinus) M109RQY,Mn-peroxidase,0,U/mL,360,"Cut (2cm), washed with water, air-dried, ground (2mm) autoclaved (20mn ; 121°C).","for 6gs, 11,8ml of distilled water + 1ml of solution (g/L): 2 (NH4)2SO4 ; 5 malt extract ; 0,5 MgSO4.H2O ; 0,6 KH2PO4 ; 0,4 K2HPO4 ; 0,2 CaCl2.H2O.",NA,"Inoculum (1,2ml ; 0,865 g/l) ; Incubation (15 days ; 30°C).","Substrate proportions (w/w): 91,7% RS ; 8,3% WF. Yield values are converted from U/L. LiP & MnP yield values are approximate. The article states that rice straw is not suitable for laccase production by this fungi.",2013,6
16,mixture (rice husk ; wheat flour),Lentinus tigrinus (Panus tigrinus) M609RQY,laccase,NA,U/mL,NA,"Cut (2cm), washed with water, air-dried, ground (2mm) autoclaved (20mn ; 121°C).","for 6gs, 11,8ml of distilled water + 1ml of solution (g/l): 2 (NH4)2SO4 ; 5 malt extract ; 0,5 MgSO4.H2O ; 0,6 KH2PO4 ; 0,4 K2HPO4 ; 0,2 CaCl2.H2O.",NA,"Inoculum (1,2ml ; 0,865 g/l) ; Incubation (15 days ; 30°C).","Substrate proportions (w/w): 91,7% RH ; 8,3% WF. Yield values are converted from U/L. MnP yield value is approximate.",2013,6
16,mixture (rice husk ; wheat flour),Lentinus tigrinus (Panus tigrinus) M609RQY,lignin peroxidase,0.024,U/mL,240,"Cut (2cm), washed with water, air-dried, ground (2mm) autoclaved (20mn ; 121°C).","for 6gs, 11,8ml of distilled water + 1ml of solution (g/l): 2 (NH4)2SO4 ; 5 malt extract ; 0,5 MgSO4.H2O ; 0,6 KH2PO4 ; 0,4 K2HPO4 ; 0,2 CaCl2.H2O.",NA,"Inoculum (1,2ml ; 0,865 g/l) ; Incubation (15 days ; 30°C).","Substrate proportions (w/w): 91,7% RH ; 8,3% WF. Yield values are converted from U/L. MnP yield value is approximate.",2013,6
16,mixture (rice husk ; wheat flour),Lentinus tigrinus (Panus tigrinus) M609RQY,Mn-peroxidase,0.06,U/mL,360,"Cut (2cm), washed with water, air-dried, ground (2mm) autoclaved (20mn ; 121°C).","for 6gs, 11,8ml of distilled water + 1ml of solution (g/l): 2 (NH4)2SO4 ; 5 malt extract ; 0,5 MgSO4.H2O ; 0,6 KH2PO4 ; 0,4 K2HPO4 ; 0,2 CaCl2.H2O.",NA,"Inoculum (1,2ml ; 0,865 g/l) ; Incubation (15 days ; 30°C).","Substrate proportions (w/w): 91,7% RH ; 8,3% WF. Yield values are converted from U/L. MnP yield value is approximate.",2013,6
17,mixture (rice husk ; wheat flour),Lentinus tigrinus (Panus tigrinus) M109RQY,laccase,2.556,U/mL,240,"Cut (2cm), washed with water, air-dried, ground (2mm) autoclaved (20mn ; 121°C).","for 6gs, 11,8ml of distilled water + 1ml of solution (g/l): 2 (NH4)2SO4 ; 5 malt extract ; 0,5 MgSO4.H2O ; 0,6 KH2PO4 ; 0,4 K2HPO4 ; 0,2 CaCl2.H2O.",NA,"Inoculum (1,2ml ; 0,865 g/l) ; T°=30°C.","Substrate proportions (w/w): 91,7% RH ; 8,3% WF. Yield values are converted from U/L. MnP yield value is approximate.",2013,6
17,mixture (rice husk ; wheat flour),Lentinus tigrinus (Panus tigrinus) M109RQY,lignin peroxidase,0.018,U/mL,360,"Cut (2cm), washed with water, air-dried, ground (2mm) autoclaved (20mn ; 121°C).","for 6gs, 11,8ml of distilled water + 1ml of solution (g/l): 2 (NH4)2SO4 ; 5 malt extract ; 0,5 MgSO4.H2O ; 0,6 KH2PO4 ; 0,4 K2HPO4 ; 0,2 CaCl2.H2O.",NA,"Inoculum (1,2ml ; 0,865 g/l) ; T°=30°C.","Substrate proportions (w/w): 91,7% RH ; 8,3% WF. Yield values are converted from U/L. MnP yield value is approximate.",2013,6
17,mixture (rice husk ; wheat flour),Lentinus tigrinus (Panus tigrinus) M109RQY,Mn-peroxidase,0.074,U/mL,360,"Cut (2cm), washed with water, air-dried, ground (2mm) autoclaved (20mn ; 121°C).","for 6gs, 11,8ml of distilled water + 1ml of solution (g/l): 2 (NH4)2SO4 ; 5 malt extract ; 0,5 MgSO4.H2O ; 0,6 KH2PO4 ; 0,4 K2HPO4 ; 0,2 CaCl2.H2O.",NA,"Inoculum (1,2ml ; 0,865 g/l) ; T°=30°C.","Substrate proportions (w/w): 91,7% RH ; 8,3% WF. Yield values are converted from U/L. MnP yield value is approximate.",2013,6
18,wheat bran,Aspergillus niger CCUG33991,xylanase,1137,U/gds,72,Autoclaved (20mn ; 120°C).,"for 5gs, 5ml of distilled water containing 1% (v/v) glycerol + 1% (w/v) (NH4)2SO4.",None,Initial pH not adjusted ; MC=60% (w/w) ; Inoculum (1E7 spores/gds) ; T°=29±2°C.,,2018,7
19,corn cob,Aspergillus niger CCUG33991,xylanase,380,U/gds,72,Autoclaved (20mn ; 120°C).,"for 5gs, 5ml of distilled water containing 1% (v/v) glycerol + 1% (w/v) (NH4)2SO4.",None,Initial pH not adjusted ; MC=60% (w/w) ; Inoculum (1E7 spores/gds) ; T°=29±2°C.,,2018,7
20,sorghum stover,Aspergillus niger CCUG33991,xylanase,257,U/gds,72,Autoclaved (20mn ; 120°C).,"for 5gs, 5ml of distilled water containing 1% (v/v) glycerol + 1% (w/v) (NH4)2SO4.",None,Initial pH not adjusted ; MC=60% (w/w) ; Inoculum (1E7 spores/gds) ; T°=29±2°C.,,2018,7
21,wheat bran,Aspergillus niger CCUG33991,xylanase,1491,U/gds,48,"Sieved (0,3-0,6mm) ; autoclaved (20mn ; 120°C).",Distilled water containing 1% (v/v) glycerol + 1% (w/v) (NH4)2SO4. Quantity was adjusted to reach MC=70% (w/w).,OFAT,"pH≈6,7 ; MC=70% (w/w) ; Inoculum (1E7 spores/gds) ; T°=28-35°C. Bioreactor (40*40*80cm) with 3 trays (25*50*2cm).","The experiment was realized in a pilot-scale tray reactor. It showed a 2,5-fold higher xylanase activity than in Erlenmeyer flasks, in a shorter time. Enzymes present high temperature stability and long-term preservation.",2018,7
22,wheat straw,Trichoderma asperellum RCK2011 (mutant strain SR1-7),FPase,0.711,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
22,wheat straw,Trichoderma asperellum RCK2011 (mutant strain SR1-7),CMCase,6.301,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
22,wheat straw,Trichoderma asperellum RCK2011 (mutant strain SR1-7),β-glucosidase,12.013,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
23,rice straw,Trichoderma asperellum RCK2011 (mutant strain SR1-7),FPase,0.732,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
23,rice straw,Trichoderma asperellum RCK2011 (mutant strain SR1-7),CMCase,5.564,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
23,rice straw,Trichoderma asperellum RCK2011 (mutant strain SR1-7),β-glucosidase,11.328,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
24,corn cob,Trichoderma asperellum RCK2011 (mutant strain SR1-7),FPase,0.089,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
24,corn cob,Trichoderma asperellum RCK2011 (mutant strain SR1-7),CMCase,0.226,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
24,corn cob,Trichoderma asperellum RCK2011 (mutant strain SR1-7),β-glucosidase,2.47,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
25,corn stover,Trichoderma asperellum RCK2011 (mutant strain SR1-7),FPase,0.455,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
25,corn stover,Trichoderma asperellum RCK2011 (mutant strain SR1-7),CMCase,1.25,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
25,corn stover,Trichoderma asperellum RCK2011 (mutant strain SR1-7),β-glucosidase,1.873,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
26,wheat bran,Trichoderma asperellum RCK2011 (mutant strain SR1-7),FPase,2.201,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
26,wheat bran,Trichoderma asperellum RCK2011 (mutant strain SR1-7),CMCase,13.129,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
26,wheat bran,Trichoderma asperellum RCK2011 (mutant strain SR1-7),β-glucosidase,9.201,U/g,96,"Dried, ground (750µm).",NA,Isolation of an UV-mutant strain with high cellulase production. OFAT,"pH=10 ; MR 1:2,5. Inoculum (40% (v/w) ) ; T°C=30°C.","All the yield values presented in the article are in U/g, except in the abstract were they are in U/gds (with the same values). No data in the article allows to know with absolute certainty the unit used.",2014,8
27,wheat bran,Trichoderma reesei RUT C-30,CMCase,959.53,U/gds,216,"Air-dried, ground (<2mm)","1g cellulose for 5gs. Solution (g/l): 1,4 (NH4)2SO4 ; 2 K2HPO4 ; 0,3 Urea  ; 0,3 CaCl2 2H2O ; 0,3 MgSO4 7H2O ; 0,75 Peptone ; 0,25 YE ; 1 Tween 80 ; 0,005 FeSO4 7H2O ; 0,0016 MnSO4 7H2O ; 0,0014 ZnSO4 7H2O ; 0,002 CoCl2 6H2O.",2 stage experimental design (OFAT + RSM Box-Behnken),"Initial pH=4,8 ; MC=57,5% ; Inoculum (3E6 spores/g) ; T°= 30±2°C.",,2017,9
27,wheat bran,Trichoderma reesei RUT C-30,FPase,22.37,U/gds,216,"Air-dried, ground (<2mm)","1g cellulose for 5gs. Solution (g/l): 1,4 (NH4)2SO4 ; 2 K2HPO4 ; 0,3 Urea  ; 0,3 CaCl2 2H2O ; 0,3 MgSO4 7H2O ; 0,75 Peptone ; 0,25 YE ; 1 Tween 80 ; 0,005 FeSO4 7H2O ; 0,0016 MnSO4 7H2O ; 0,0014 ZnSO4 7H2O ; 0,002 CoCl2 6H2O.",3 stage experimental design (OFAT + RSM Box-Behnken),"Initial pH=4,8 ; MC=57,5% ; Inoculum (3E6 spores/g) ; T°= 30±2°C.",,2017,9
28,wheat bran,Trichoderma reesei RUT C-30,CMCase,457.27,U/gds,336,"Air-dried, ground (<2mm)","20% gds cellulose. Solution (g/l): 1,4 (NH4)2SO4 ; 2 K2HPO4 ; 0,3 Urea  ; 0,3 CaCl2 2H2O ; 0,3 MgSO4 7H2O ; 0,75 Peptone ; 0,25 YE ; 1 Tween 80 ; 0,005 FeSO4 7H2O ; 0,0016 MnSO4 7H2O ; 0,0014 ZnSO4 7H2O ; 0,002 CoCl2 6H2O.",2 stage experimental design (OFAT + RSM Box-Behnken),"Initial pH=4,8 ; MC=57,5% ; Inoculum (3E6 spores/g) ; T°=30±2°C. Tray bioreactor (Koji room CSIR NIIST) ; RH=80%.","The CMCase activity found in bioreactor was 47,7% less important than in Erlenmeyer flasks. The article suggests that it is a consequence of oxygen limitation and overheating of the medium due to the fungi's metabolism.",2017,9
